Meter No,Score,Band,Recency (Days),Vends (60d),Median Spend,Decision,Approved Amount,Reason
124001000000,41.8,D,202.0,0.0,3000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 202.0 days ago)
125211000000,51.0,C,173.0,0.0,1000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 173.0 days ago)
125213000000,51.0,C,149.0,0.0,1000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 149.0 days ago)
137217000000,25.6,D,144.0,0.0,1000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 144.0 days ago)
137230000000,30.6,D,143.0,0.0,2000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 143.0 days ago)
137237000000,30.4,D,200.0,0.0,2000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 200.0 days ago)
14019734475,23.7,D,208.0,0.0,500.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 208.0 days ago)
14201454247,25.5,D,199.0,0.0,1000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 199.0 days ago)
159000000000,62.5,C,107.0,0.0,10000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 107.0 days ago)
195210000000,53.1,C,0.0,5.0,5000.0,REJECTED,0.0,Insufficient history (5.0 vends/60d)
195230000000,30.6,D,149.0,0.0,2000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 149.0 days ago)
2150643217,65.6,B,143.0,0.0,150000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 143.0 days ago)
4181210511,25.5,D,186.0,0.0,1000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 186.0 days ago)
44300049614,45.5,D,165.0,0.0,20000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 165.0 days ago)
45030268366,31.3,D,65.0,0.0,1000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 65.0 days ago)
45030372416,59.6,C,104.0,0.0,2400.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 104.0 days ago)
45059913702,54.0,C,0.0,2.0,600.0,REJECTED,0.0,Insufficient history (2.0 vends/60d)
45062756940,30.7,D,134.0,0.0,2000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 134.0 days ago)
45701783735,46.6,D,110.0,0.0,27500.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 110.0 days ago)
45702097762,43.7,D,133.0,0.0,3000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 133.0 days ago)
47300003168,48.9,D,2.0,10.0,50000.0,REJECTED,0.0,Low Score (Band D)
54130558551,45.6,D,149.0,0.0,20000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 149.0 days ago)
62141050088,42.8,D,64.0,0.0,5000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 64.0 days ago)
7005216281,32.7,D,33.0,1.0,2000.0,REJECTED,0.0,Insufficient history (1.0 vends/60d); Dormant (Last vend 33.0 days ago)
7072147445,26.4,D,192.0,0.0,1250.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 192.0 days ago)
7081116084,61.8,C,147.0,0.0,3000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 147.0 days ago)
95300433596,25.5,D,24.0,1.0,500.0,REJECTED,0.0,Insufficient history (1.0 vends/60d)
95300567740,20.4,D,107.0,0.0,1500.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 107.0 days ago)
95500047147,22.8,D,141.0,0.0,1000.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 141.0 days ago)
nan,55.0,C,204.0,0.0,95500047147.0,REJECTED,0.0,Insufficient history (0.0 vends/60d); Dormant (Last vend 204.0 days ago)
